Name,UTC,FAR_PyCBC,FAR_GstLAL,FAR_cWB,SNR_PyCBC,SNR_GstLAL,SNR_cWB
GW150914,09:50:45.4,<1.53e-5,<1.00e-7,<1.63e-4,23.6,24.4,25.2
GW151012,09:54:43.4,0.17,7.92e-3,,9.5,10.0,
GW151226,03:38:53.6,<1.69e-5,<1.00e-7,0.02,13.1,13.1,11.9
GW170104,10:11:58.6,<1.37e-5,<1.00e-7,2.91e-4,13.0,13.0,13.0
GW170608,02:01:16.5,<3.09e-4,<1.00e-7,1.44e-4,15.4,14.9,14.1
GW170729,18:56:29.3,1.36,0.18,0.02,9.8,10.8,10.2
GW170809,08:28:21.8,1.45e-4,<1.00e-7,,12.2,12.4,
GW170814,10:30:43.5,<1.25e-5,<1.00e-7,<2.08e-4,16.3,15.9,17.2
GW170817,12:41:04.4,<1.25e-5,<1.00e-7,,30.9,33.0,
GW170818,02:25:09.1,,4.20e−5,,,11.3,
GW170823,13:13:58.5,<3.29e−5,<1.00e-7,2.14e-3,11.1,11.5,10.8
