Name,Instruments,FAR_cWB,SNR_cWB,FAR_GstLAL,SNR_GstLAL,pastro_GstLAL,FAR_PyCBC,SNR_PyCBC,pastro_PyCBC,FAR_PyCBCBBH,SNR_PyCBCBBH,pastro_PyCBCBBH
GW190408_181802,HLV,<9.5e-4,14.8,<1.0e-5,14.7,1.00,<2.5e-5,13.5,1.00,<7.9e-5,13.6,1.00
GW190412,HLV,<9.5e-4,19.7,<1.0e-5,18.9,1.00,<3.1e-5,17.9,1.00,<7.9e-5,17.8,1.00
GW190413_052954,HLV,,,,,,,,,7.2e-2,8.6,0.98
GW190413_134308,HLV,,,3.8e-1,10.0,0.95,,,,4.4e-2,9.0,0.98
GW190421_213856,HL,3.0e-1,9.3,7.7e-4,10.6,1.00,1.9e0,10.2,0.89,6.6e-3,10.2,1.00
GW190424_180648,L,,,7.8e-1,10.0,0.91,,,,,,
GW190425,LV,,,7.5e-4,13.0,,,,,,,
GW190426_152155,HLV,,,1.4e0,10.1,,,,,,,
GW190503_185404,HLV,1.8e-3,11.5,<1.0e-5,12.1,1.00,3.7e-2,12.2,1.00,<7.9e-5,12.2,1.00
GW190512_180714,HLV,8.8e-1,10.7,<1.0e-5,12.3,1.00,3.8e-5,12.2,1.00,<5.7e-5,12.2,1.00
GW190513_205428,HLV,,,<1.0e-5,12.3,1.00,3.7e-4,11.8,1.00,<5.7e-5,11.9,1.00
GW190514_065416,HL,,,,,,,,,5.3e-1,8.3,0.96
GW190517_055101,HLV,6.5e-3,10.7,9.6e-4,10.6,1.00,1.8e-2,10.4,1.00,<5.7e-5,10.2,1.00
GW190519_153544,HLV,3.1e-4,14.0,<1.0e-5,12.0,1.00,<1.8e-5,13.0,1.00,<5.7e-5,13.0,1.00
GW190521,HLV,2.0e-4,14.4,1.2e-3,15.0,1.00,1.1e0,12.6,0.93,,,
GW190521_074359,HL,<1.0e-4,24.7,<1.0e-5,24.4,1.00,<1.8e-5,24.0,1.00,<5.7e-5,24.0,1.00
GW190527_092055,HL,,,6.2e-2,8.9,0.99,,,,,,
GW190602_175927,HLV,1.5e-2,11.1,1.1e-5,12.1,1.00,,,,1.5e-2,11.4,1.00
GW190620_030421,LV,,,2.9e-3,10.9,1.00,,,,,,
GW190630_185205,LV,,,<1.0e-5,15.6,1.00,,,,,,
GW190701_203306,HLV,5.5e-1,10.2,1.1e-2,11.6,1.00,,,,,,
GW190706_222641,HLV,<1.0e-3,12.7,<1.0e-5,12.3,1.00,6.7e-5,11.7,1.00,<4.6e-5,12.3,1.00
GW190707_093326,HL,,,<1.0e-5,13.0,1.00,<1.0e-5,12.8,1.00,<4.6e-5,12.8,1.00
GW190708_232457,LV,,,2.8e-5,13.1,1.00,,,,,,
GW190719_215514,HL,,,,,,,,,1.6e-0,8.0,0.82
GW190720_000836,HLV,,,<1.0e-5,11.7,1.00,<2.0e-5,10.6,1.00,<3.7e-5,10.5,1.00
GW190727_060333,HLV,8.8e-2,11.4,<1.0e-5,12.3,1.00,3.5e-3,11.5,1.00,<3.7e-5,11.8,1.00
GW190728_064510,HLV,,,<1.0e-5,13.6,1.00,<1.6e-5,13.4,1.00,<3.7e-5,13.4,1.00
GW190731_140936,HL,,,2.1e-1,8.5,0.97,,,,2.8e-1,8.2,0.96
GW190803_022701,HLV,,,3.2e-2,9.0,0.99,,,,2.7e-2,8.6,0.99
GW190814,LV,,,<1.0e-5,22.2,1.00,,,,,,
GW190828_063405,HLV,<9.6e-4,16.6,<1.0e-5,16.0,1.00,<1.5e-5,15.3,1.00,<3.3e-5,15.3,1.00
GW190828_065509,HLV,,,<1.0e-5,11.1,1.00,5.8e-5,10.8,1.00,<3.3e-5,10.8,1.00
GW190909_114149,HL,,,1.1e0,8.5,0.89,,,,,,
GW190910_112807,LV,,,1.9e-5,13.4,1.00,,,,,,
GW190915_235702,HLV,<1.0e-3,12.3,<1.0e-5,13.1,1.00,8.6e-4,13.0,1.00,<3.3e-5,12.7,1.00
GW190924_021846,HLV,,,<1.0e-5,13.2,1.00,<6.3e-5,12.5,1.00,<3.3e-5,12.4,1.00
GW190929_012149,HLV,,,2.0e-2,9.9,1.00,,,,,,
GW190930_133541,HL,,,5.8e-1,10.0,0.92,3.4e-2,9.7,1.00,3.3e-2,9.8,0.99
