Name,Instruments,FAR_cWB,SNR_cWB,pastro_cWB,FAR_GstLAL,SNR_GstLAL,pastro_GstLAL,FAR_MBTA,SNR_MBTA,pastro_MBTA,FAR_PyCBC,SNR_PyCBC,pastro_PyCBC,FAR_PyCBCBBH,SNR_PyCBCBBH,pastro_PyCBCBBH
GW191103_012549,HL,,,,,,,27,9.0,0.13,4.8,9.3,0.77,0.46,9.3,0.94
GW191105_143521,HLV,,,,24,10.0,0.07,0.14,10.7,>0.99,0.012,9.8,>0.99,0.036,9.8,>0.99
GW191109_010717,HL,<0.0011,15.6,>0.99,0.0010,15.8,>0.99,1.8e-4,15.2,>0.99,0.096,13.2,>0.99,0.047,14.4,>0.99
GW191113_071753,HLV,,,,,,,26,9.2,0.68,1.1e4,8.3,<0.01,1.2e3,8.5,<0.01
GW191126_115259,HL,,,,80,8.7,0.02,59,8.5,0.30,22,8.5,0.39,3.2,8.5,0.70
GW191127_050227,HLV,,,,0.25,10.3,0.49,1.2,9.8,0.73,20,9.5,0.47,4.1,8.7,0.74
GW191129_134029,HL,,,,<1.0e-5,13.3,>0.99,0.013,12.7,>0.99,<2.6e-5,12.9,>0.99,<2.4e-5,12.9,>0.99
GW191204_110529,HL,,,,21,9.0,0.07,1.3e4,8.1,<0.01,980,8.9,<0.01,3.3,8.9,0.74
GW191204_171526,HL,<8.7e-4,17.1,>0.99,<1.0e-5,15.6,>0.99,<1.0e-5,17.1,>0.99,<1.4e-5,16.9,>0.99,<1.2e-5,16.9,>0.99
GW191215_223052,HLV,0.12,9.8,0.95,<1.0e-5,10.9,>0.99,0.22,10.8,>0.99,0.0016,10.3,>0.99,0.28,10.2,>0.99
GW191216_213338,HV,,,,<1.0e-5,18.6,>0.99,9.3e-4,17.9,>0.99,0.0019,18.3,>0.99,7.6e-4,18.3,>0.99
GW191219_163120,HLV,,,,,,,,,,4.0,8.9,0.82,,,
GW191222_033537,HL,<8.9e-4,11.1,>0.99,<1.0e-5,12.0,>0.99,0.0099,10.8,>0.99,0.0021,11.5,>0.99,9.8e-5,11.5,>0.99
GW191230_180458,HLV,0.050,10.3,0.95,0.13,10.3,0.87,8.1,9.8,0.40,52,9.6,0.29,0.42,9.9,0.96
GW200112_155838,LV,,,,<1.0e-5†,17.6,>0.99,,,,,,,,,
GW200115_042309,HLV,,,,<1.0e-5,11.5,>0.99,0.0055,11.2,>0.99,<1.2e-4,10.8,>0.99,,,
GW200128_022011,HL,1.3,8.8,0.63,0.022,10.1,0.97,3.3,9.4,0.98,0.63,9.8,0.95,0.0043,9.9,>0.99
GW200129_065458,HLV,,,,<1.0e-5,26.5,>0.99,,,,<2.3e-5,16.3,>0.99,<1.7e-5,16.2,>0.99
GW200202_154313,HLV,,,,<1.0e-5,11.3,>0.99,,,,,,,0.025,10.8,>0.99
GW200208_130117,HLV,,,,0.0096,10.7,0.99,0.46,10.4,>0.99,0.18,9.6,0.98,3.1e-4,10.8,>0.99
GW200208_222617,HLV,,,,160,8.2,<0.01,420,8.9,0.02,,,,4.8,7.9,0.70
GW200209_085452,HLV,,,,0.046,10.0,0.95,12,9.7,0.97,550,9.2,0.04,1.2,9.2,0.89
GW200210_092254,HLV,,,,1.2,9.5,0.42,,,,17,8.9,0.53,7.7,8.9,0.54
GW200216_220804,HLV,,,,0.35,9.4,0.77,2.4e3,8.8,0.02,970,9.0,<0.01,7.8,8.7,0.54
GW200219_094415,HLV,0.77,9.7,0.85,9.9e-4,10.7,>0.99,0.18,10.6,>0.99,1.7,9.9,0.89,0.016,10.0,>0.99
GW200220_061928,HLV,,,,,,,,,,,,,6.8,7.5,0.62
GW200220_124850,HL,,,,150,8.2,<0.01,1.8e3,8.2,0.83,,,,30,7.8,0.20
GW200224_222234,HLV,<8.8e-4,18.8,>0.99,<1.0e-5,18.9,>0.99,<1.0e-5,19.0,>0.99,<8.2e-5,19.2,>0.99,<7.7e-5,18.6,>0.99
GW200225_060421,HL,<8.8e-4,13.1,>0.99,0.079,12.9,0.93,0.0049,12.5,>0.99,<1.1e-5,12.3,>0.99,4.1e-5,12.3,>0.99
GW200302_015811,HV,,,,0.11†,10.6,0.91,,,,,,,,,
GW200306_093714,HL,,,,,,,410,8.5,0.81,3.4e3,7.8,<0.01,24,8.0,0.24
GW200308_173609,HLV,,,,680,8.1,<0.01,6.9e4,8.3,0.24,770,7.9,<0.01,2.4,8.0,0.86
GW200311_115853,HLV,<8.2e-4,16.2,>0.99,<1.0e-5,17.7,>0.99,<1.0e-5,16.5,>0.99,<6.9e-5,17.0,>0.99,<7.7e-5,17.4,>0.99
GW200316_215756,HLV,,,,<1.0e-5,10.1,>0.99,12,9.5,0.30,0.20,9.3,0.98,0.58,9.3,0.98
GW200322_091133,HLV,,,,,,,450,9.0,0.62,1.4e3,8.0,<0.01,140,7.7,0.08
